Company,Job Title,Status,Date,portal,EMAIL,link
ACACIA DEV SOLUTIONS PTE. LTD.,Data/AI Product Manager,Interviewed,3 march,NA,NA,NA
AZENDIAN SOLUTIONS PTE. LTD.,full stack intern,Pending,3 march,NA,NA,NA
DSO,Generative AI for Enterprise Use cases,Pending,3 march,NA,NA,NA
IDEMIA SINGAPORE PTE. LTD.,QA Engineer Intern,Pending,3 mar,NA,NA,NA
Tiktok,Machine Learning Engineer Intern,Pending,3 mar,NA,NA,NA
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,machine learning data analysis model,Pending,3 march,NA,NA,NA
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,Software Engineer Intern,Pending,3 mar,NA,NA,NA
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,Product Security Software Engineer,Pending,3 mar,NA,NA,NA
SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,Global Factory IT Intern,Pending,NA,NA,NA,NA
Shopee,Product Manager Intern AI Agent Chatbot Intelligence,Pending,3 Mar,NA,NA,NA
Shopee,backend intern - search,Pending,3 Mar,NA,NA,NA
Bytedance,"Backend Software Engineer Intern (Graph Neural Network System, Cloud Infrastructure)",Pending,4 mar,NA,NA,NA
Prudential Assurance,Analytics Engineering Intern,Pending,4 mar,NA,NA,NA
ROCKSTEAD CAPITAL LIMITED,IT AUTOMATION INTERN,Pending,4 mar,NA,NA,NA
AMARIS AI PTE LTD,software engineer intern,Pending,4 mar,NA,NA,NA
SINGHEALTH,data science intern @khoo teck puat hospital,Pending,4 mar,NA,NA,NA
cpf board,java developer intern,Pending,4 mar,NA,NA,NA
SINGAPORE BUSINESS FEDERATION,AI Intern,Pending,12 mar,INPLACE,NA,NA
MAS,fintech/automation/sth else,Pending,16 mar,MAS website,NA,NA
SEARCHASIA CONSULTING PTE. LTD.,AI Engineer Intern,Pending,16 mar,INPLACE (JD similar to hackathon done),Jocelyn.ho@searchasia.com.sg,NA
SINGAPORE AIRLINES LIMITED (SIA TRAINING CENTRE),Azure Pipeline Development Internship,Pending,16 mar,INPLACE,NA,NA
WATCH DISTRICT PTE. LTD.,Software Engineering Intern (B2B Auction Platform),Pending,16 mar,INPLACE,NA,NA
WILLIAMS-SONOMA INC.,IT Analyst (Finance) Intern,Rejected,16 mar,INPLACE REDIRECT TO WEB PORTAL,WKoh@wsgc.com,NA
KEYSIGHT TECHNOLOGIES SINGAPORE (SALES) PTE. LTD.,Software Application Engineer Intern,Pending,16 mar,INPLACE,Shi-jie.then@keysight.com,NA
AZENDIAN SOLUTIONS PTE. LTD.,full stack intern,Pending,17 mar,INPLACE,teri.liew@azendian.com,NA
WILMAR INTERNATIONAL LIMITED,Cybersecurity & AI Engineering Intern,Pending,17 mar,INPLACE,claire.lim@sg.wilmar-intl.com,NA
HORIZON QUANTUM COMPUTING PTE. LTD.,Intern - Quantum Computing Scientist,Pending,17 mar,INPLACE,sumanth@horizonquantum.com,NA
Simplifynext,Technology Analyst Intern,Pending,29 mar,INPLACE,NA,https://www.simplifynext.com/contact-dpo
ASTIGNES CAPITAL ASIA PTE. LTD.,Quantitative Development/Risk Intern,Pending,29 mar,INPLACE,recruiting@astignes.com,https://www.astignes.com/careers
AIRES A.T PRIVATE LIMITED,Software Developer Intern,Pending,29 mar,INPLACE,chloeleow@airesatech.com,https://www.airesat.com/careers
NCS PTE. LTD.,Generative AI Intern – 1459,Pending,29 mar,INPLACE,nadiah.jamsari@ncs.com.sg,https://www.ncs.com.sg/careers
SINGAPORE AIRLINES LIMITED (SIA TRAINING CENTRE),Digital Innovation Intern – POC Development,Pending,29 mar,INPLACE,Vanessa_See@Singaporeair.com.sg,https://www.singaporeair.com/en_UK/sg/careers/
NEUROWYZR PTE. LTD.,Data Scientist Intern,Pending,29 mar,INPLACE,Seeann.soo@neurowyzr.com,https://www.neurowyzr.com/careers
TETSUYU HEALTHCARE HOLDINGS PTE. LTD.,Software Engineer Internship,Pending,29 mar,INPLACE,eileen.chong@tetsuyuhealthcare.com,https://www.tetsuyu.com/careers
HRNET ONE PTE LTD,Software Engineer Intern,Pending,29 mar,INPLACE,ray.lim@hrnetgroup.com,https://www.hrnetone.com/careers
SINGAPORE AIRLINES LIMITED (SIA TRAINING CENTRE),Software Engineer Internship Enterprise Integration,Pending,29 mar,INPLACE,Vanessa_See@Singaporeair.com.sg,https://www.singaporeair.com/en_UK/sg/careers/
ATOMIONICS PTE. LTD.,Machine Learning (Time Series Data) Intern,Pending,29 mar,INPLACE,mitha@atomionics.com,https://www.atomionics.com/careers
SINGAPORE AIRLINES LIMITED (SIA TRAINING CENTRE),DevOps Internship,Pending,29 mar,INPLACE,Vanessa_See@Singaporeair.com.sg,https://www.singaporeair.com/en_UK/sg/careers/
SINGAPORE AIRLINES LIMITED,Security (GenAI Focus) Internship,Pending,29 mar,INPLACE,Vanessa_See@Singaporeair.com.sg,https://www.singaporeair.com/en_UK/sg/careers/
ADVANCE INTELLIGENCE PTE. LTD.,Product Intern,Pending,29 mar,INPLACE,alvinez.teo@advancegroup.com,https://www.advance-intelligence.com/careers
